56,AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,"2,556,188","2,563,524",-0.29%
57,SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,"2,412,293","2,341,719",3.01%
58,WP,CA,BUR,Burbank,Bob Hope,P,M,"2,402,100","2,077,892",15.60%
59,EA,NY,BUF,Buffalo,Buffalo Niagara International,P,M,"2,348,463","2,313,724",1.50%
60,WP,CA,ONT,Ontario,Ontario International,P,M,"2,247,628","2,104,625",6.79%
61,CE,NE,OMA,Omaha,Eppley Airfield,P,M,"2,243,623","2,127,387",5.46%
62,SO,TN,MEM,Memphis,Memphis International,P,S,"2,102,728","2,016,089",4.30%
63,WP,NV,RNO,Reno,Reno/Tahoe International,P,S,"1,952,977","1,771,864",10.22%
64,SO,SC,CHS,Charleston,Charleston AFB/International,P,S,"1,945,689","1,811,695",7.40%
65,NE,RI,PVD,Warwick,Theodore Francis Green State,P,S,"1,940,791","1,803,000",7.64%
66,SW,OK,OKC,Oklahoma City,Will Rogers World,P,S,"1,894,277","1,796,473",5.44%
67,WP,CA,LGB,Long Beach,Long Beach /Daugherty Field/,P,S,"1,830,727","1,386,357",32.05%
68,EA,VA,RIC,Highland Springs,Richmond International,P,S,"1,822,483","1,777,648",2.52%
69,NM,ID,BOI,Boise,Boise Air Terminal/Gowen Field,P,S,"1,777,634","1,633,507",8.82%
70,WP,HI,KOA,Kailua Kona,Ellison Onizuka Kona International at Keahole,P,S,"1,764,995","1,569,602",12.45%
71,NM,WA,GEG,Spokane,Spokane International,P,S,"1,698,420","1,570,652",8.13%
72,EA,VA,ORF,Norfolk,Norfolk International,P,S,"1,694,322","1,602,631",5.72%
73,SO,KY,SDF,Louisville,Louisville International-Standiford Field,P,S,"1,684,728","1,631,494",3.26%
74,WP,AZ,TUS,Tucson,Tucson International,P,S,"1,669,818","1,594,594",4.72%
75,WP,HI,LIH,Lihue,Lihue,P,S,"1,535,075","1,458,940",5.22%
76,SW,TX,ELP,El Paso,El Paso International,P,S,"1,450,100","1,414,376",2.53%
77,SO,FL,SFB,Sanford,Orlando Sanford International,P,S,"1,418,117","1,341,699",5.70%
78,GL,MI,GRR,Grand Rapids,Gerald R Ford International,P,S,"1,412,120","1,334,979",5.78%
79,EA,NY,ALB,Albany,Albany International,P,S,"1,393,666","1,388,860",0.35%
80,SW,OK,TUL,Tulsa,Tulsa International,P,S,"1,374,390","1,342,315",2.39%
81,WP,GU,GUM,Tamuning,Guam International,P,S,"1,341,791","1,444,299",-7.10%
82,SO,AL,BHM,Birmingham,Birmingham-Shuttlesworth International,P,S,"1,333,967","1,304,467",2.26%
83,CE,IA,DSM,Des Moines,Des Moines International,P,S,"1,257,492","1,216,357",3.38%
84,EA,NY,ROC,Rochester,Greater Rochester International,P,S,"1,205,762","1,186,002",1.67%
85,SO,GA,SAV,Savannah,Savannah/Hilton Head International,P,S,"1,192,316","1,056,265",12.88%
86,SO,SC,MYR,Myrtle Beach,Myrtle Beach International,P,S,"1,131,959","944,849",19.80%
87,WP,CA,PSP,Palm Springs,Palm Springs International,P,S,"1,055,936","995,801",6.04%
88,SO,SC,GSP,Greer,Greenville Spartanburg International,P,S,"1,051,085","991,276",6.03%
89,SO,FL,PIE,Clearwater,St Pete-Clearwater International,P,S,"1,023,462","915,672",11.77%
90,EA,NY,SYR,Syracuse,Syracuse Hancock International,P,S,"1,013,142","988,496",2.49%
91,SW,AR,LIT,Little Rock,Bill and Hillary Clinton National/Adams Field,P,S,"979,515","958,824",2.16%
92,NE,NH,MHT,Manchester,Manchester,P,S,"969,224","995,403",-2.63%
93,SO,TN,TYS,Alcoa,McGhee Tyson,P,S,"963,744","887,103",8.64%
94,GL,WI,MSN,Madison,Dane County Regional-Truax Field,P,S,"943,361","903,155",4.45%
95,GL,OH,DAY,Dayton,James M Cox Dayton International,P,S,"935,364","1,019,922",-8.29%
96,NE,ME,PWM,Portland,Portland International Jetport,P,S,"925,881","886,343",4.46%
97,SO,NC,GSO,Greensboro,Piedmont Triad International,P,S,"881,018","848,261",3.86%
98,SO,FL,PNS,Pensacola,Pensacola International,P,S,"839,238","792,916",5.84%
99,NM,CO,COS,Colorado Springs,City of Colorado Springs Municipal,P,S,"815,819","657,694",24.04%
100,CE,KS,ICT,Wichita,Wichita Dwight D Eisenhower National,P,S,"789,489","781,944",0.96%
101,EA,NY,HPN,White Plains,Westchester County,P,S,"759,301","766,170",-0.90%
102,WP,CA,FAT,Fresno,Fresno Yosemite International,P,S,"755,134","761,298",-0.81%
103,WP,AZ,IWA,Mesa,Phoenix-Mesa Gateway,P,S,"704,232","705,731",-0.21%
104,SW,AR,XNA,Bentonville,Northwest Arkansas Regional,P,S,"698,255","673,810",3.63%
105,WP,HI,ITO,Hilo,Hilo International,P,S,"664,790","640,757",3.75%
106,EA,NY,ISP,Islip,Long Island MacArthur,P,S,"648,589","597,133",8.62%
107,SO,FL,PGD,Punta Gorda,Punta Gorda,P,S,"643,551","558,482",15.23%
108,SO,KY,LEX,Lexington,Blue Grass,P,S,"637,290","638,316",-0.16%
109,SO,VI,STT,Charlotte Amalie,Cyril E King,P,S,"619,729","729,382",-15.03%
110,GL,OH,CAK,Akron,Akron-Canton Regional,P,S,"619,321","685,553",-9.66%
111,NM,MT,BZN,Bozeman,Bozeman Yellowstone International,P,S,"598,706","553,245",8.22%
112,SO,FL,SRQ,Sarasota,Sarasota/Bradenton International,P,S,"590,915","589,860",0.18%
113,EA,PA,MDT,Harrisburg,Harrisburg International,P,S,"582,287","589,511",-1.23%
114,NE,VT,BTV,Burlington,Burlington International,P,S,"578,008","593,311",-2.58%
115,CE,IA,CID,Cedar Rapids,The Eastern Iowa,P,S,"574,632","547,786",4.90%
116,SO,FL,VPS,Valparaiso,Eglin AFB/Destin-Ft Walton Beach,P,S,"567,633","440,002",29.01%
117,EA,NJ,ACY,Atlantic City,Atlantic City International,P,S,"552,690","589,091",-6.18%
118,AL,AK,FAI,Fairbanks,Fairbanks International,P,S,"543,839","538,881",0.92%
119,GL,SD,FSD,Sioux Falls,Joe Foss Field,P,S,"540,862","510,105",6.03%
120,NM,OR,EUG,Eugene,Mahlon Sweet Field,P,S,"529,142","483,224",9.50%
121,SO,AL,HSV,Huntsville,Huntsville International-Carl T Jones Field,P,S,"518,998","527,801",-1.67%
122,SW,TX,MAF,Midland,Midland International Air And Space Port,P,S,"516,974","471,490",9.65%
123,SO,SC,CAE,Columbia,Columbia Metropolitan,P,S,"510,186","553,658",-7.85%
124,WP,MP,GSN,Saipan,Francisco C Ada/Saipan International,P,S,"493,424","430,275",14.68%
125,CE,MO,SGF,Springfield,Springfield-Branson National,P,S,"483,259","462,126",4.57%
126,SO,TN,CHA,Chattanooga,Lovell Field,P,S,"482,104","422,442",14.12%
127,SO,NC,AVL,Asheville,Asheville Regional,P,S,"478,041","416,939",14.65%
128,SO,MS,JAN,Jackson,Jackson-Medgar Wiley Evers International,P,S,"462,649","491,464",-5.86%
129,SW,TX,LBB,Lubbock,Lubbock Preston Smith International,P,S,"460,212","448,093",2.70%
130,SO,FL,ECP,Panama City,Northwest Florida Beaches International,P,S,"454,707","434,302",4.70%
131,NM,OR,MFR,Medford,Rogue Valley International - Medford,P,S,"440,492","401,469",9.72%
132,SO,NC,ILM,Wilmington,Wilmington International,P,N,"422,541","413,185",2.26%
133,NM,MT,BIL,Billings,Billings Logan International,P,N,"415,076","423,213",-1.92%
134,GL,ND,FAR,Fargo,Hector International,P,N,"404,872","402,976",0.47%
135,GL,MI,FNT,Flint,Bishop International,P,N,"393,549","398,508",-1.24%
136,SO,FL,EYW,Key West,Key West International,P,N,"392,381","380,505",3.12%
137,NM,MT,MSO,Missoula,Missoula International,P,N,"387,959","381,582",1.67%
138,AL,AK,JNU,Juneau,Juneau International,P,N,"382,386","420,442",-9.05%
139,SW,LA,BTR,Baton Rouge,"Baton Rouge Metropolitan, Ryan Field",P,N,"377,661","364,200",3.70%
140,NM,WA,PSC,Pasco,Tri-Cities,P,N,"376,043","374,301",0.47%
141,NM,WA,BLI,Bellingham,Bellingham International,P,N,"370,022","415,285",-10.90%
142,NM,OR,RDM,Redmond,Roberts Field,P,N,"364,921","306,517",19.05%
143,EA,NJ,TTN,Trenton,Trenton Mercer,P,N,"363,626","278,436",30.60%
144,GL,IN,FWA,Fort Wayne,Fort Wayne International,P,N,"359,658","360,369",-0.20%
145,WP,CA,SBA,Santa Barbara,Santa Barbara Municipal,P,N,"356,604","329,751",8.14%
146,SO,FL,TLH,Tallahassee,Tallahassee International,P,N,"350,167","345,404",1.38%
147,SO,FL,DAB,Daytona Beach,Daytona Beach International,P,N,"346,458","342,495",1.16%
148,NM,WY,JAC,Jackson,Jackson Hole,P,N,"341,661","342,044",-0.11%
149,SW,TX,MFE,McAllen,McAllen Miller International,P,N,"336,417","355,224",-5.29%
150,GL,IL,MLI,Moline,Quad City International,P,N,"335,940","364,393",-7.81%
151,SW,TX,AMA,Amarillo,Rick Husband Amarillo International,P,N,"334,563","334,815",-0.08%
152,EA,VA,CHO,Charlottesville-Albemarle Airport,Charlottesville-Albemarle,P,N,"334,333","295,930",12.98%
153,EA,PA,ABE,Allentown,Lehigh Valley International,P,N,"328,912","324,511",1.36%
154,SO,MS,GPT,Gulfport,Gulfport-Biloxi International,P,N,"324,604","305,157",6.37%
155,SW,TX,CRP,Corpus Christi,Corpus Christi International,P,N,"320,260","325,815",-1.70%
156,GL,IL,PIA,Peoria,General Downing - Peoria International,P,N,"312,363","307,189",1.68%
157,EA,VA,ROA,Roanoke,Roanoke-Blacksburg Regional/Woodrum Field,P,N,"309,341","305,212",1.35%
158,GL,IN,SBN,South Bend,South Bend International,P,N,"307,471","329,957",-6.81%
159,WP,AZ,GCN,Grand Canyon,Grand Canyon National Park,P,N,"301,448","319,206",-5.56%
160,NE,ME,BGR,Bangor,Bangor International,P,N,"290,854","269,013",8.12%
161,SO,GA,AGS,Augusta,Augusta Regional at Bush Field,P,N,"288,834","270,797",6.66%
162,SO,AL,MOB,Mobile,Mobile Regional,P,N,"288,222","288,209",0.00%
163,GL,SD,RAP,Rapid City,Rapid City Regional,P,N,"286,556","272,537",5.14%
164,GL,WI,GRB,Green Bay,Green Bay-Austin Straubel International,P,N,"283,823","292,868",-3.09%
165,GL,WI,ATW,Appleton,Appleton International,P,N,"281,550","270,633",4.03%
166,GL,ND,BIS,Bismarck,Bismarck Municipal,P,N,"275,098","273,980",0.41%
167,SW,TX,HRL,Harlingen,Valley International,P,N,"273,070","263,760",3.53%
168,NM,MT,GPI,Kalispell,Glacier Park International,P,N,"272,271","247,816",9.87%
169,SW,LA,SHV,Shreveport,Shreveport Regional,P,N,"267,646","270,395",-1.02%
170,EA,PA,AVP,Avoca,Wilkes-Barre/Scranton International,P,N,"261,572","232,855",12.33%
171,SO,PR,BQN,Aguadilla,Rafael Hernandez,P,N,"252,693","257,871",-2.01%
172,NM,CO,ASE,Aspen,Aspen-Pitkin County/Sardy Field,P,N,"244,795","254,392",-3.77%
173,SO,NC,FAY,Fayetteville,Fayetteville Regional/Grannis Field,P,N,"238,566","224,541",6.25%
174,GL,MI,TVC,Traverse City,Cherry Capital,P,N,"235,133","223,924",5.01%
175,EA,NY,SWF,Newburgh,Stewart International,P,N,"228,638","140,328",62.93%
176,NM,CO,GJT,Grand Junction,Grand Junction Regional,P,N,"223,441","218,319",2.35%
177,SO,FL,MLB,Melbourne,Melbourne International,P,N,"221,923","220,360",0.71%
178,WP,NV,BVU,Boulder City,Boulder City Municipal,P,N,"220,980","211,615",4.43%
179,SO,FL,GNV,Gainesville,Gainesville Regional,P,N,"218,569","206,330",5.93%
180,GL,IN,EVV,Evansville,Evansville Regional,P,N,"213,201","204,352",4.33%
181,EA,WV,CRW,Charleston,Yeager,P,N,"202,777","213,412",-4.98%
182,SW,LA,LFT,Lafayette,Lafayette Regional/Paul Fournet Field,P,N,"202,635","206,667",-1.95%
183,EA,VA,PHF,Newport News,Newport News/Williamsburg International,P,N,"197,994","199,421",-0.72%
184,WP,CA,SBP,San Luis Obispo,San Luis County Regional,P,N,"197,594","162,719",21.43%
185,WP,CA,MRY,Monterey,Monterey Regional,P,N,"197,094","192,136",2.58%
186,SO,VI,STX,Christiansted,Henry E Rohlsen,P,N,"195,634","196,047",-0.21%
187,WP,CA,STS,Santa Rosa,Charles M Schulz - Sonoma County,P,N,"195,288","167,151",16.83%
188,SO,TN,TRI,Bristol/Johnson/Kingsport,Tri-Cities,P,N,"193,068","204,926",-5.79%
189,NM,CO,DRO,Durango,Durango-La Plata County,P,N,"186,914","187,789",-0.47%
190,GL,MI,LAN,Clinton (Township of),Capital Region International,P,N,"186,621","161,863",15.30%
191,NM,MT,GTF,Great Falls,Great Falls International,P,N,"171,043","176,730",-3.22%
192,GL,IL,BMI,Bloomington-Normal Airport,Central IL Regional Airport at Bloomington-Normal,P,N,"163,473","188,490",-13.27%
193,SW,LA,AEX,Alexandria,Alexandria International,P,N,"156,144","129,776",20.32%
194,SO,NC,OAJ,Jacksonville,Albert J Ellis,P,N,"155,342","149,987",3.57%
195,SW,TX,GRK,Killeen,Robert Gray AAF,P,N,"154,949","157,161",-1.41%
196,NM,CO,EGE,Eagle,Eagle County Regional,P,N,"154,572","163,840",-5.66%
197,CE,NE,LNK,Lincoln,Lincoln,P,N,"154,450","162,876",-5.17%
198,SO,AL,MGM,Montgomery,Montgomery Regional (Dannelly Field),P,N,"152,771","173,210",-11.80%
199,EA,PA,LBE,Latrobe,Arnold Palmer Regional,P,N,"151,207","146,127",3.48%
200,NM,ID,IDA,Idaho Falls,Idaho Falls Regional,P,N,"147,721","146,213",1.03%
201,AL,AK,BET,Bethel,Bethel,P,N,"146,652","155,791",-5.87%
202,GL,MI,AZO,Kalamazoo,Kalamazoo/Battle Creek International,P,N,"146,308","154,242",-5.14%
203,GL,MN,RST,Rochester,Rochester International,P,N,"143,614","112,864",27.25%
204,EA,NY,IAG,Niagara Falls,Niagara Falls International,P,N,"142,605","126,028",13.15%
205,GL,ND,MOT,Minot,Minot International,P,N,"141,161","150,634",-6.29%
206,EA,NY,PBG,Plattsburgh,Plattsburgh International,P,N,"139,398","129,622",7.54%
207,EA,PA,UNV,State College,University Park,P,N,"138,423","134,312",3.06%
208,WP,AZ,1G4,Peach Springs,Grand Canyon West,P,N,"137,771","128,739",7.02%
209,GL,OH,LCK,Columbus,Rickenbacker International,P,N,"133,543","102,751",29.97%
210,AL,AK,KTN,Ketchikan,Ketchikan International,P,N,"131,144","127,881",2.55%
211,EA,NY,ELM,Elmira,Elmira/Corning Regional,P,N,"126,469","139,583",-9.40%
212,GL,IL,BLV,Belleville,Scott AFB/Midamerica,P,N,"123,841","79,988",54.82%
213,NM,CO,MTJ,Montrose,Montrose Regional,P,N,"123,201","116,272",5.96%
214,GL,MN,DLH,Duluth,Duluth International,P,N,"122,717","124,284",-1.26%
215,GL,ND,GFK,Grand Forks,Grand Forks International,P,N,"117,520","132,557",-11.34%
216,GL,WI,CWA,Mosinee,Central Wisconsin,P,N,"116,404","119,222",-2.36%
217,SW,TX,BRO,Brownsville,Brownsville/South Padre Island International,P,N,"116,184","120,151",-3.30%
218,WP,AZ,IFP,Bullhead City,Laughlin/Bullhead International,P,N,"115,338","109,334",5.49%
219,NE,MA,ACK,Nantucket,Nantucket Memorial,P,N,"113,009","126,197",-10.45%
220,GL,IL,RFD,Rockford,Chicago/Rockford International,P,N,"112,860","101,790",10.88%
221,SO,NC,EWN,New Bern,Coastal Carolina Regional,P,N,"111,147","106,110",4.75%
222,GL,MI,MBS,Saginaw,MBS International,P,N,"110,957","122,469",-9.40%
223,NM,MT,HLN,Helena,Helena Regional,P,N,"103,771","103,239",0.52%
224,EA,WV,HTS,Huntington,Tri-State/Milton J Ferguson Field,P,N,"103,718","98,489",5.31%
225,SW,NM,SAF,Santa Fe,Santa Fe Municipal,P,N,"103,676","71,252",45.51%
226,NM,UT,SGU,St. George,St George Regional,P,N,"103,568","78,680",31.63%
227,SW,LA,MLU,Monroe,Monroe Regional,P,N,"103,547","102,342",1.18%
228,GL,OH,TOL,Toledo,Toledo Express,P,N,"102,984","92,522",11.31%
229,GL,IL,CMI,Savoy,University of Illinois-Willard,P,N,"100,131","89,318",12.11%
230,WP,CA,BFL,Bakersfield,Meadows Field,P,N,"99,472","100,433",-0.96%
231,EA,NY,ITH,Ithaca,Ithaca Tompkins Regional,P,N,"97,212","88,692",9.61%
232,NM,WY,CPR,Casper,Casper/Natrona County International,P,N,"96,838","92,805",4.35%
233,NM,CO,HDN,Hayden,Yampa Valley,P,N,"96,403","107,339",-10.19%
234,WP,CA,SCK,Stockton,Stockton Metropolitan,P,N,"96,201","93,076",3.36%
235,AL,AK,ENA,Kenai,Kenai Municipal,P,N,"92,929","92,485",0.48%
236,GL,WI,LSE,La Crosse,La Crosse Regional,P,N,"92,101","94,047",-2.07%
237,GL,IL,SPI,Springfield,Abraham Lincoln Capital,P,N,"92,043","93,269",-1.31%
238,NM,UT,PVU,Provo,Provo Municipal,P,N,"91,564","78,451",16.71%
239,SW,TX,LRD,Laredo,Laredo International,P,N,"91,451","101,115",-9.56%
240,SO,PR,PSE,Ponce,Mercedita,P,N,"89,334","105,804",-15.57%
241,CE,MO,COU,Columbia,Columbia Regional,P,N,"88,641","65,014",36.34%
242,NM,ID,SUN,Hailey,Friedman Memorial,P,N,"86,634","77,729",11.46%
243,SW,AR,FSM,Fort Smith,Fort Smith Regional,P,N,"85,726","83,920",2.15%
244,EA,PA,ERI,Erie,Erie International/Tom Ridge Field,P,N,"85,628","87,647",-2.30%
245,SW,TX,ABI,Abilene,Abilene Regional,P,N,"85,085","84,809",0.33%
246,WP,HI,MKK,Kaunakakai,Molokai,P,N,"84,139","92,560",-9.10%
247,AL,AK,SIT,Sitka,Sitka Rocky Gutierrez,P,N,"83,598","83,404",0.23%
248,AL,AK,ADQ,Kodiak,Kodiak,P,N,"83,577","79,682",4.89%
249,EA,VA,LYH,Timberlake,Lynchburg Regional/Preston Glenn Field,P,N,"82,489","75,465",9.31%
250,WP,AZ,NYL,Yuma,Yuma MCAS/Yuma International,P,N,"79,559","74,742",6.44%
251,NM,ID,LWS,Lewiston,Lewiston-Nez Perce County,P,N,"76,729","72,724",5.51%
252,SW,TX,CLL,College Station,Easterwood Field,P,N,"73,430","78,907",-6.94%
253,NM,WA,YKM,Yakima,Yakima Air Terminal/McAllister Field,P,N,"71,547","70,993",0.78%
254,WP,AS,PPG,Pago Pago,Pago Pago International,P,N,"71,401","65,439",9.11%
255,WP,AZ,FLG,Flagstaff,Flagstaff Pulliam,P,N,"70,694","64,578",9.47%
256,GL,ND,ISN,Williston,Sloulin Field International,P,N,"69,802","68,829",1.41%
257,CE,KS,MHK,Manhattan,Manhattan Regional,P,N,"68,791","63,761",7.89%
258,AL,AK,OTZ,Kotzebue,Ralph Wien Memorial,P,N,"67,951","64,481",5.38%
259,CE,NE,GRI,Grand Island,Central Nebraska Regional,P,N,"66,842","68,879",-2.96%
260,WP,CA,ACV,Arcata,California Redwood Coast-Humboldt County,P,N,"65,932","69,732",-5.45%
261,AL,AK,OME,Nome,Nome,P,N,"61,651","60,655",1.64%
262,NM,WA,EAT,East Wenatchee,Pangborn Memorial,P,N,"60,331","60,068",0.44%
263,NM,WA,PUW,Pullman,Pullman/Moscow Regional,P,N,"59,246","61,833",-4.18%
264,SW,TX,SJT,San Angelo,San Angelo Regional/Mathis Field,P,N,"59,202","60,277",-1.78%
265,SW,TX,ACT,Waco,Waco Regional,P,N,"58,877","64,356",-8.51%
266,EA,MD,SBY,Salisbury,Salisbury-Ocean City Wicomico Regional,P,N,"57,421","58,695",-2.17%
267,NE,NH,PSM,Portsmouth,Portsmouth International at Pease,P,N,"56,739","73,247",-22.54%
268,SW,NM,ROW,Roswell,Roswell International Air Center,P,N,"55,211","44,378",24.41%
269,NE,MA,ORH,Worcester,Worcester Regional,P,N,"53,925","57,800",-6.70%
270,SO,NC,PGV,Greenville,Pitt-Greenville,P,N,"51,964","47,457",9.50%
271,SW,OK,LAW,Lawton,Lawton-Fort Sill Regional,P,N,"50,939","51,088",-0.29%
272,GL,MI,SAW,Gwinn,Sawyer International,P,N,"50,933","45,462",12.03%
273,SW,LA,LCH,Lake Charles,Lake Charles Regional,P,N,"50,899","53,576",-5.00%
274,SO,PR,VQS,Vieques,Antonio Rivera Rodriguez,P,N,"50,510","63,104",-19.96%
275,SO,GA,CSG,Columbus,Columbus,P,N,"49,771","44,813",11.06%
276,NE,MA,MVY,Vineyard Haven,Martha's Vineyard,P,N,"49,767","54,084",-7.98%
277,NM,WA,ALW,Walla Walla,Walla Walla Regional,P,N,"49,702","47,439",4.77%
278,SW,TX,TYR,Tyler,Tyler Pounds Regional,P,N,"49,647","52,494",-5.42%
280,SO,AL,DHN,Dothan,Dothan Regional,P,N,"47,299","49,411",-4.27%
281,AL,AK,HOM,Homer,Homer,P,N,"46,307","44,117",4.96%
282,AL,AK,BRW,Barrow,Wiley Post-Will Rogers Memorial,P,N,"45,958","45,300",1.45%
283,NM,ID,TWF,Twin Falls,Joslin Field - Magic Valley Regional,P,N,"45,736","38,869",17.67%
284,SO,GA,VLD,Valdosta,Valdosta Regional,P,N,"43,738","40,275",8.60%
286,WP,CA,RDD,Redding,Redding Municipal,P,N,"42,359","43,414",-2.43%
287,SO,SC,FLO,Florence,Florence Regional,P,N,"42,058","45,300",-7.16%
288,AL,AK,SCC,Deadhorse,Deadhorse,P,N,"41,849","51,205",-18.27%
289,CE,IA,SUX,Sioux City,Sioux Gateway/Col Bud Day Field,P,N,"41,778","36,413",14.73%
